,Move_Name,Year,Duration(in mins),MPAA_Ratings,Rating,No_Of_People_Rated
0,The Shawshank Redemption,1994,142,1994,9.3,3M
1,The Godfather,1972,175,1972,9.2,2.1M
2,The Dark Knight,2008,152,2008,9.0,3M
3,The Godfather: Part II,1974,202,1974,9.0,1.4M
4,12 Angry Men,1957,96,1957,9.0,925K
5,The Lord of the Rings: The Return of the King,2003,201,2003,9.0,2.1M
6,Schindler's List,1993,195,1993,9.0,1.5M
7,Pulp Fiction,1994,154,1994,8.9,2.3M
8,The Lord of the Rings: The Fellowship of the Ring,2001,178,2001,8.9,2.1M
9,"Il Buono, Il Brutto, Il Cattivo",1966,161,1966,8.8,853K
10,Forrest Gump,1994,142,1994,8.8,2.4M
11,The Lord of the Rings: The Two Towers,2002,179,2002,8.8,1.9M
12,Fight Club,1999,139,1999,8.8,2.5M
13,Inception,2010,148,2010,8.8,2.7M
14,Star Wars: Episode V - The Empire Strikes Back,1980,124,1980,8.7,1.4M
15,The Matrix,1999,136,1999,8.7,2.2M
16,GoodFellas,1990,145,1990,8.7,1.3M
17,Interstellar,2014,169,2014,8.7,2.3M
18,One Flew Over the Cuckoo's Nest,1975,133,1975,8.7,1.1M
19,Se7en,1995,127,1995,8.6,1.9M
20,It's a Wonderful Life,1946,130,1946,8.6,527K
21,The Silence of the Lambs,1991,118,1991,8.6,1.6M
22,Shichinin No Samurai,1954,207,1954,8.6,384K
23,Saving Private Ryan,1998,169,1998,8.6,1.6M
24,City of God,2002,130,2002,8.6,837K
